date_key,full_date,day_of_week,day_of_month,month,month_name,quarter,year,is_weekend
20240101,2024-01-01,Monday,1,1,January,Q1,2024,0
20240102,2024-01-02,Tuesday,2,1,January,Q1,2024,0
20240103,2024-01-03,Wednesday,3,1,January,Q1,2024,0
20240104,2024-01-04,Thursday,4,1,January,Q1,2024,0
20240105,2024-01-05,Friday,5,1,January,Q1,2024,0
20240106,2024-01-06,Saturday,6,1,January,Q1,2024,1
20240107,2024-01-07,Sunday,7,1,January,Q1,2024,1
20240115,2024-01-15,Monday,15,1,January,Q1,2024,0
20240116,2024-01-16,Tuesday,16,1,January,Q1,2024,0
20240118,2024-01-18,Thursday,18,1,January,Q1,2024,0
20240120,2024-01-20,Saturday,20,1,January,Q1,2024,1
20240121,2024-01-21,Sunday,21,1,January,Q1,2024,1
20240125,2024-01-25,Thursday,25,1,January,Q1,2024,0
20240128,2024-01-28,Sunday,28,1,January,Q1,2024,1
20240201,2024-02-01,Thursday,1,2,February,Q1,2024,0
20240205,2024-02-05,Monday,5,2,February,Q1,2024,0
20240210,2024-02-10,Saturday,10,2,February,Q1,2024,1
20240212,2024-02-12,Monday,12,2,February,Q1,2024,0
20240215,2024-02-15,Thursday,15,2,February,Q1,2024,0
20240218,2024-02-18,Sunday,18,2,February,Q1,2024,1
20240220,2024-02-20,Tuesday,20,2,February,Q1,2024,0
20240225,2024-02-25,Sunday,25,2,February,Q1,2024,1
20240228,2024-02-28,Wednesday,28,2,February,Q1,2024,0
20240301,2024-03-01,Friday,1,3,March,Q1,2024,0
20240305,2024-03-05,Tuesday,5,3,March,Q1,2024,0
20240310,2024-03-10,Sunday,10,3,March,Q1,2024,1
20240315,2024-03-15,Friday,15,3,March,Q1,2024,0
20240320,2024-03-20,Wednesday,20,3,March,Q1,2024,0
20240325,2024-03-25,Monday,25,3,March,Q1,2024,0
20240330,2024-03-30,Saturday,30,3,March,Q1,2024,1
