sale_key,date_key,product_key,customer_key,quantity_sold,unit_price,discount_amount,total_amount
1,20240101,1,1,1,45999.00,0.00,45999.00
2,20240102,2,2,2,12995.00,1299.00,24691.00
3,20240103,3,3,1,29990.00,0.00,29990.00
4,20240104,4,4,1,3499.00,349.90,3149.10
5,20240105,5,5,3,1499.00,0.00,4497.00
6,20240106,6,6,1,899.00,0.00,899.00
7,20240107,7,7,2,650.00,0.00,1300.00
8,20240115,8,8,1,52999.00,0.00,52999.00
9,20240116,9,9,1,12999.00,1299.90,11699.10
10,20240118,10,10,2,69999.00,0.00,139998.00
11,20240120,11,11,1,4599.00,459.90,4139.10
12,20240121,12,12,3,450.00,0.00,1350.00
13,20240125,13,1,1,5499.00,549.90,4949.10
14,20240128,14,2,1,1899.00,0.00,1899.00
15,20240201,1,3,1,45999.00,2299.95,43699.05
16,20240205,2,4,2,12995.00,0.00,25990.00
17,20240210,3,5,1,29990.00,0.00,29990.00
18,20240212,4,6,3,3499.00,0.00,10497.00
19,20240215,5,7,2,1499.00,299.80,2198.20
20,20240218,6,8,5,899.00,0.00,4495.00
21,20240220,7,9,3,650.00,195.00,1755.00
22,20240225,8,10,1,52999.00,5299.90,47699.10
23,20240228,9,11,1,12999.00,1299.90,11699.10
24,20240301,1,12,1,45999.00,0.00,45999.00
25,20240305,10,1,1,69999.00,3499.95,66499.05
26,20240310,11,2,2,4599.00,0.00,9198.00
27,20240315,2,3,1,12995.00,0.00,12995.00
28,20240320,3,4,2,29990.00,5998.00,53982.00
29,20240325,4,5,3,3499.00,0.00,10497.00
30,20240330,5,6,2,1499.00,0.00,2998.00
31,20240101,8,2,1,52999.00,0.00,52999.00
32,20240106,9,3,1,12999.00,1299.90,11699.10
33,20240120,12,4,8,450.00,0.00,3600.00
34,20240201,2,5,2,12995.00,1299.50,24690.50
35,20240210,13,6,1,5499.00,0.00,5499.00
36,20240218,14,7,1,1899.00,189.90,1709.10
37,20240228,10,8,1,69999.00,0.00,69999.00
38,20240305,6,9,4,899.00,0.00,3596.00
39,20240315,7,10,2,650.00,0.00,1300.00
40,20240325,11,11,1,4599.00,459.90,4139.10
41,20240330,1,12,1,45999.00,0.00,45999.00
